order_id,order_date,customer_id,customer_segment,product_id,category,sub_category,quantity,unit_price,unit_cost,discount_pct,gross_amount,discount_amount,net_revenue,profit,payment_method,marketing_channel,shipping_mode,shipping_cost,delivery_days,country,region,city,is_returned
ORD300176,01-01-2024,C50270,Consumer,P2205,Beauty,Makeup,1,72.2,28.95,0,72.2,0,72.2,43.25,Credit Card,Social,Standard,3.99,8,India,East,Kolkata,FALSE
ORD300665,01-01-2024,C50304,Consumer,P7734,Beauty,Fragrance,2,11.56,4.16,0.3,23.12,6.94,16.18,7.86,Credit Card,Direct,Standard,3.99,6,United States,Central,Kansas City,FALSE
ORD300733,01-01-2024,C50184,Home Office,P2390,Electronics,Laptops,2,27.84,20.68,0.05,55.68,2.78,52.9,11.54,Digital Wallet,Social,Express,9.99,4,United States,West,San Francisco,FALSE
ORD300056,02-01-2024,C50145,Corporate,P5317,Electronics,Cameras,3,62.49,50.49,0.3,187.47,56.24,131.23,-20.24,Debit Card,Affiliate,Express,9.99,2,United States,West,Denver,FALSE
ORD300121,02-01-2024,C50059,Consumer,P1106,Beauty,Skincare,1,138.5,57.26,0.1,138.5,13.85,124.65,67.39,Credit Card,Organic Search,Standard,3.99,6,India,West,Pune,FALSE
ORD300370,07-01-2024,C50133,Consumer,P3602,Electronics,Cameras,1,67.31,57.14,0.2,67.31,13.46,53.85,-3.29,Credit Card,Organic Search,Express,9.99,3,United Kingdom,Wales,Swansea,FALSE
ORD300427,09-01-2024,C50111,Consumer,P3866,Electronics,Laptops,1,94.98,75.12,0.1,94.98,9.5,85.48,10.36,Debit Card,Organic Search,Express,9.99,4,United Kingdom,Wales,Cardiff,FALSE
ORD300504,10-01-2024,C50157,Corporate,P8521,Beauty,Skincare,1,31.65,12.99,0,31.65,0,31.65,18.66,Digital Wallet,Organic Search,Standard,3.99,5,United Kingdom,Scotland,Glasgow,FALSE
ORD300677,11-01-2024,C50113,Home Office,P4744,Fashion,Women's Apparel,1,138.51,63.62,0,138.51,0,138.51,74.89,Cash on Delivery,Paid Search,Standard,3.99,5,United States,West,Denver,FALSE
ORD300404,12-01-2024,C50254,Corporate,P3484,Home & Kitchen,Decor,1,25.52,15.21,0.15,25.52,3.83,21.69,6.48,Digital Wallet,Email,Standard,3.99,7,United States,Central,Chicago,FALSE
